board_state,player_turn,best_move_index
 OOX  OXX,X,'045'
 OOX  X  ,X,'0'
 OOX  X X,O,'0'
 OOX  XOX,X,'0'
 OOX  XX ,O,'0'
 OOX  XXO,X,'0'
 OOX O XX,X,'06'
 OOX OX X,X,'07'
 OOX OXX ,X,'08'
 OOX X   ,X,'04'
 OOX X  X,O,'04'
 OOX X OX,X,'4'
 OOX X X ,O,'04'
 OOX X XO,X,'04'
 OOX XO X,X,'4'
 OOX XOX ,X,'4'
 OOX XOXX,O,'04'
 OOX XX  ,O,'0'
 OOX XX O,X,'04'
 OOX XXO ,X,'04'
 OOX XXOX,O,'04'
 OOX XXXO,O,'0'
 OOXO  XX,X,'6'
 OOXO X X,X,'07'
 OOXO XX ,X,'08'
 OOXOX  X,X,'067'
 OOXOX X ,X,'068'
 OOXOX XX,O,'06'
 OOXOXX  ,X,'0'
 OOXOXX X,O,'07'
 OOXOXXX ,O,'0'
 OOXOXXXO,X,'0'
 OOXX    ,X,'05'
 OOXX   X,O,'0'
 OOXX  OX,X,'05'
 OOXX  X ,O,'05'
 OOXX  XO,X,'5'
 OOXX O X,X,'05'
 OOXX OX ,X,'05'
 OOXX OXX,O,'0'
 OOXX X  ,O,'0'
 OOXX X O,X,'05'
 OOXX XO ,X,'05'
 OOXX XOX,O,'0'
 OOXX XXO,O,'05'
 OOXXO  X,X,'0'
 OOXXO X ,X,'068'
 OOXXO XX,O,'0'
 OOXXOOXX,X,'0'
 OOXXOX  ,X,'0'
 OOXXOX X,O,'0'
 OOXXOXOX,X,'0'
 OOXXOXX ,O,'08'
 OX      ,X,'458'
 OX     X,O,'034567'
 OX    OX,X,'45'
 OX    X ,O,'68'
 OX    XO,X,'46'
 OX   O X,X,'045'
 OX   OX ,X,'58'
 OX   OXX,O,'5'
 OX   X  ,O,'4'
 OX   X O,X,'034'
 OX   XO ,X,'4'
 OX   XOX,O,'4'
 OX   XXO,O,'4'
 OX  O  X,X,'46'
 OX  O X ,X,'6'
 OX  O XX,O,'6'
 OX  OOXX,X,'04'
 OX  OX  ,X,'03478'
 OX  OX X,O,'0347'
 OX  OXOX,X,'4'
 OX  OXX ,O,'0348'
 OX  OXXO,X,'034'
 OX  X   ,O,'034678'
 OX  X  O,X,'4'
 OX  X O ,X,'48'
 OX  X XO,O,'4'
 OX  XO  ,X,'348'
 OX  XOX ,O,'8'
 OX  XOXO,X,'34'
 OX  XX O,O,'4'
 OX  XXO ,O,'4'
 OX  XXOO,X,'4'
 OX O   X,X,'57'
 OX O  X ,X,'8'
